"df_names","df_long","df_lat"
"สน.ปตท. กลุ่มเกษตรกรทำสวนเขาวง จำกัด","98.894524","8.917045"
"PTT Gas Station Chomphunuch Branch Ao-Luek","98.6828068","8.5079644"
"Gas Thanyarak Shop","98.7706053","8.625363"
"PTT (J. P. Sap Petroleum Oil Limited Partnership)","98.8405514","8.8373975"
"Esso (Plai Phraya Service Limited Partnership)","98.867036","8.53696"
"เชล์ลเวียงปิโตร","99.282417","8.5838011"
"Petrol","98.930423","8.9526238"
"Esso (Mitprasan Limited Partnership)","98.5830263","8.4447067"
"PTT gas station","99.0329373","9.0076476"
"Gasoline Station","98.8095321","8.0516691"
"Philai Point Gas Station","98.7669685","8.0525053"
"Self service gas station","98.83692","8.042814"
"Esso gas station","98.927096","8.107854"
"BangChak Gas Station","98.8421847","8.0412812"
"GASOLINE","98.8065019","8.0505892"
"ร้านแอ๊ะแก๊ส","98.8369969","8.0441289"
"Susco","98.34259","8.08298"
"Shell","98.351669","7.908527"
"PTT","98.8565632","8.0798691"
"shell gas station(Phu Thong Service)","98.5329223","8.4206075"
"ปั๊มน้ำมัน สมทัด เซอร์วิส","98.8141749","8.0593984"
"Saijai Ta Teng Shop","98.9142486","8.0653693"
"ปั๊มน้ำมัน","98.6081146","8.1001094"
"Gas Green 91","98.7438951","8.0795454"
"PTT","98.809626","8.051869"
"PTT Gas Station Kalapapruek Limited Partnership","98.5194921","8.4311219"
"สถานีบริการน้ำมันบางจาก","98.88564","8.1005"
"Esso","98.9163393","8.0697838"
"PT gasstation","98.9143717","8.0824777"
"Esso","102.096505","13.649987"
"Gas station","102.4862404","13.6145089"
"Gas station","102.515693","13.6782358"
"PTT gas station.","102.5409297","13.6600192"
"Gas station","102.3808556","13.724168"
"Gas Station","102.4567537","13.8778006"
"Gas station","102.7646137","13.9783015"
"Gas station","102.4909797","13.7275745"
"Gas station","102.2747838","13.6348941"
"Gas station","102.5727115","13.7280886"
"Gas station","102.3109047","13.6590039"
"Gas station","102.357722","13.585046"
"Gas station","102.6956017","14.0907374"
"Esso (Thai Siang Petroleum)","102.3008602","13.7514403"
"Gas station","102.5261953","13.7599638"
"Gas station","102.5658467","13.8086818"
"Gas station","102.493889","13.6799161"
"Gas station","102.585792","13.8196117"
"สน.ปตท. บจก.เอส.ดี.พี.การ์ด","102.1159948","13.8011612"
"Tela gas station","102.3613643","13.4321334"
"Tela Gas Station","102.3954014","13.4241271"
"Smart Tech Co., Ltd.","102.5019401","13.7169048"
"PTT gas station.","102.3338379","13.5792443"
"PTT gas station.","102.2625375","13.5359831"
"ปั๊มน้ำมัน พีที วัฒนานคร2","102.2989261","13.752287"
"PTT gas station.","102.2979357","13.4542464"
"ปั๊มน้ำมัน 3แชมป์","102.6706027","13.9888855"
"PT Station Srakeaw2","102.1228021","13.8002826"
"ปั้มน้ำมัน TOTAL","102.5613417","13.654591"
"สถานีบริการน้ำมัน","102.3557443","13.8196417"
"MPPL Petrol Station","102.554149","13.6629128"
"PT Station Wattana nakhon","102.340473","13.800883"
"Caltex","102.1923941","13.3637078"
"สถานีบริการน้ำมันศรีวัฒนาบริการ","102.2577255","13.5931796"
"Caltex","102.5092301","13.7023508"
"สน.ปตท. หจก.บรรจงรุ่งเรืองปิโตรเลียม","102.198993","13.422087"
"ปั๊มน้ำมัน พีที วังน้ำเย็น","102.179418","13.508199"
"สถานีบริการน้ำมันบางจาก","102.5438902","13.9435764"
"Tela Gas Station","102.3617864","13.5638784"
"สถานีบริการน้ำมันเอส.วาย.","102.6962995","14.0911727"
"Esso","102.096505","13.649987"
"Gas station","102.1031599","13.6392735"
"Gas station","102.191618","13.2765615"
"Gas station","102.4862404","13.6145089"
"Gas station","102.515693","13.6782358"
