"names","long","lat","Label","inout"
"PTT",100.5477829,13.6123759,"PTT",1
"PTT (PTT Public Company Limited Sanam Pao Branch)",100.540818,13.768834,"PTT",1
"PTT",100.5361619,13.761678,"PTT",1
"PTT",100.5283774,13.7899652,"PTT",1
"Banthad Thong PTT Station",100.526898,13.754306,"PTT",1
"สน.ปตท. หสน. สถานีบริการน้ำมันท่าวุ้ง",100.515613,14.814571,"PTT",1
"PTT Station",100.5067941,13.705683,"PTT",1
"PTT",100.5051774,20.1042309,"PTT",1
"PTT gas station",100.4378686,17.5566955,"PTT",1
"PTT gas station.",100.4349791,14.8789481,"PTT",1
"PTT Petrol Station Bang Man",100.428029,14.8860671,"PTT",1
"PTT (Thaweeporn Service Limited Partnership 2)",100.422767,14.880472,"PTT",1
"PTT สน.ปตท.เชียงของเอ็นเนอร์จี999",100.41158,20.2438125,"PTT",1
"PTT Jiffy Sing Buri",100.4016988,14.9159491,"PTT",1
"PTT Gas Station",100.395816,14.897685,"PTT",1
"PTT Gas Station Chaksri",100.3953852,14.8615955,"PTT",1
"PTT",100.3938144,13.625104,"PTT",1
"PTT Gas Station",100.393579,13.6252112,"PTT",1
"PTT (Wiboon Panit Singburi Limited Partnership)",100.3930141,14.8930724,"PTT",1
"PTT gas station.",100.3913548,16.3535988,"PTT",1
"PTT (Duangdee Petroleum Limited Partnership)",100.3905769,14.7601269,"PTT",1
"PTT",100.3898008,13.6234737,"PTT",1
"PTT",100.3834164,13.6151177,"PTT",1
"PTT (Por.Charoen Ban Kaen Limited Partnership)",100.3785515,20.0373664,"PTT",1
"Cafe Amazon PTT@บ้านครึ่ง",100.3782361,20.0372215,"PTT",1
"PTT Station",100.3625938,16.8303964,"PTT",1
"PTT",100.361366,16.461683,"PTT",1
"PTT",100.3585646,14.8120864,"PTT",1
"PTT (Leam Siriwong Registered Ordinary Partnership)",100.357729,16.4343046,"PTT",1
"PTT gas station.",100.3547665,19.5141955,"PTT",1
"PTT gas station.",100.3462589,17.5962521,"PTT",1
"PTT Station สาขาถนนพระราม2 (ขาเข้า)",100.3380018,13.5933984,"PTT",1
"PTT (Chiang Kham Estate Cooperative Limitted)",100.3225203,19.5981491,"PTT",1
"PTT",100.3225055,14.7519459,"PTT",1
"PTT",100.3191876,13.585204,"PTT",1
"PTT Station (P.B.Petroleum.Co.Ltd)",100.3130765,19.5161004,"PTT",1
"PTT Phitsanuloknakhon Petroleum",100.3097107,16.7601919,"PTT",1
"สน.ปตท. หจก. สุทวีปิโตรเลียม",100.3007628,19.5185993,"PTT",1
